title,year,cast,genres
A.k.a. Cassius Clay,1970,['Muhammad Ali'],"['Documentary', 'Sports']"
Adam at Six A.M.,1970,"['Michael Douglas', 'Lee Purcell', 'Joe Don Baker', 'Louise Latham']",['Drama']
Adam's Woman,1970,"['Beau Bridges', 'Jane Merrow', 'John Mills', 'James Booth']","['Historical', 'Drama']"
The Adventurers,1970,"['Bekim Fehmiu', 'Candice Bergen', 'Charles Aznavour', 'Olivia de Havilland']","['Drama', 'Adventure']"
Airport,1970,"['Burt Lancaster', 'Dean Martin', 'Jean Seberg', 'Jacqueline Bisset', 'Maureen Stapleton', 'Van Heflin', 'George Kennedy', 'Helen Hayes', 'Lloyd Nolan', 'Dana Wynter', 'Barbara Hale']","['Disaster', 'Drama']"
Alex in Wonderland,1970,"['Donald Sutherland', 'Ellen Burstyn', 'Federico Fellini']","['Comedy', 'Drama']"
The Angel Levine,1970,"['Zero Mostel', 'Harry Belafonte', 'Ida Kamińska']",['Drama']
Angel Unchained,1970,"['Larry Bishop', 'Tyne Daly', 'Aldo Ray']","['Drama', 'Action', 'Thriller']"
The Aristocats,1970,"['Phil Harris', 'Eva Gabor', 'Gary Dubin']","['Animated', 'Comedy', 'Musical', 'Romance']"
The Baby Maker,1970,"['Barbara Hershey', 'Collin Wilcox Paxton', 'Scott Glenn']",['Drama']
The Ballad of Cable Hogue,1970,"['Jason Robards', 'Stella Stevens', 'David Warner']","['Western', 'Comedy']"
Barquero,1970,"['Lee Van Cleef', 'Warren Oates']","['Western', 'War']"
Beneath the Planet of the Apes,1970,"['James Franciscus', 'Kim Hunter', 'Maurice Evans', 'Linda Harrison']",['Science Fiction']
Beyond the Valley of the Dolls,1970,"['Cynthia Myers', 'Dolly Read', 'Edy Williams']","['Erotic', 'Comedy', 'Drama', 'Musical']"
Bigfoot,1970,"['John Carradine', 'Joi Lansing', 'John Mitchum']","['Horror', 'Independent', 'Science Fiction']"
Bloody Mama,1970,"['Shelley Winters', 'Bruce Dern', 'Don Stroud']",['Crime']
The Boatniks,1970,"['Robert Morse', 'Stefanie Powers', 'Phil Silvers', 'Norman Fell', 'Don Ameche']",['Comedy']
The Boys in the Band,1970,"['Kenneth Nelson', 'Cliff Gorman', 'Leonard Frey']","['Comedy', 'Drama']"
Brewster McCloud,1970,"['Bud Cort', 'Sally Kellerman', 'Shelley Duvall']","['Fantasy', 'Comedy']"
A Bullet for Pretty Boy,1970,"['Fabian Forte', 'Jocelyn Lane', 'Adam Roarke']","['Crime', 'Action']"
Cannon for Cordoba,1970,"['George Peppard', 'Raf Vallone']",['Western']
Catch-22,1970,"['Alan Arkin', 'Jon Voight', 'Bob Newhart', 'Orson Welles', 'Buck Henry', 'Martin Sheen', 'Bob Balaban', 'Richard Benjamin', 'Charles Grodin', 'Art Garfunkel', 'Paula Prentiss']","['War', 'Comedy']"
